anio;nivel_agregacion;unidad_territorial;sector_clae;monto_inversion;monto_inversion_constante_2004
2023;Provincia;Buenos Aires;B - EXPLOTACIÓN  DE  MINAS  Y  CANTERAS;54.30;0.20
2023;Provincia;Buenos Aires;C - INDUSTRIA MANUFACTURERA;63470.30;236.91
2023;Provincia;Buenos Aires;D - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO;300.50;1.12
2023;Provincia;Buenos Aires;E - SUMINISTRO DE AGUA, CLOACAS, GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO;137.80;0.51
2023;Provincia;Buenos Aires;G - COMERCIO AL POR MAYOR Y AL POR MENOR, REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;25124.00;93.78
2023;Provincia;Buenos Aires;H - SERVICIO DE TRANSPORTE Y ALMACENAMIENTO;695.50;2.60
2023;Provincia;Buenos Aires;J - INFORMACIÓN Y COMUNICACIONES;3440.60;12.84
2023;Provincia;Buenos Aires;M - SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS;38941.10;145.36
2023;Provincia;Buenos Aires;N - ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO;23.00;0.09
2023;Provincia;Buenos Aires;Q - SALUD HUMANA Y SERVICIOS SOCIALES;14104.50;52.65
2023;Provincia;Buenos Aires;R - SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO;5.10;0.02
2023;Provincia;Buenos Aires;S - SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES ;35.00;0.13
2023;Provincia;C.A.B.A.;B - EXPLOTACIÓN  DE  MINAS  Y  CANTERAS;209.40;0.78
2023;Provincia;C.A.B.A.;C - INDUSTRIA MANUFACTURERA;18815.20;70.23
2023;Provincia;C.A.B.A.;E - SUMINISTRO DE AGUA, CLOACAS, GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO;2738.30;10.22
2023;Provincia;C.A.B.A.;F - CONSTRUCCIÓN;247.50;0.92
2023;Provincia;C.A.B.A.;G - COMERCIO AL POR MAYOR Y AL POR MENOR, REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;60532.10;225.95
2023;Provincia;C.A.B.A.;H - SERVICIO DE TRANSPORTE Y ALMACENAMIENTO;230.10;0.86
2023;Provincia;C.A.B.A.;J - INFORMACIÓN Y COMUNICACIONES;41052.80;153.24
2023;Provincia;C.A.B.A.;K - INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS ;8405.40;31.38
2023;Provincia;C.A.B.A.;M - SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS;54384.80;203.01
2023;Provincia;C.A.B.A.;N - ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO;102.30;0.38
2023;Provincia;C.A.B.A.;O - ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA;502.20;1.87
2023;Provincia;C.A.B.A.;Q - SALUD HUMANA Y SERVICIOS SOCIALES;23519.40;87.79
2023;Provincia;C.A.B.A.;S - SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES ;299.40;1.12
2023;Provincia;Catamarca;C - INDUSTRIA MANUFACTURERA;796.90;2.98
2023;Provincia;Catamarca;J - INFORMACIÓN Y COMUNICACIONES;82.00;0.31
2023;Provincia;Catamarca;M - SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS;1.00;0.00
2023;Provincia;Chaco;C - INDUSTRIA MANUFACTURERA;697.60;2.60
2023;Provincia;Chaco;G - COMERCIO AL POR MAYOR Y AL POR MENOR, REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;44.50;0.17
2023;Provincia;Chaco;J - INFORMACIÓN Y COMUNICACIONES;375.20;1.40
2023;Provincia;Chaco;M - SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS;249.80;0.93
2023;Provincia;Chaco;Q - SALUD HUMANA Y SERVICIOS SOCIALES;12.70;0.05
2023;Provincia;Chubut;B - EXPLOTACIÓN  DE  MINAS  Y  CANTERAS;228.70;0.85
2023;Provincia;Chubut;C - INDUSTRIA MANUFACTURERA;1584.40;5.92
2023;Provincia;Chubut;E - SUMINISTRO DE AGUA, CLOACAS, GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO;8.00;0.03
2023;Provincia;Chubut;F - CONSTRUCCIÓN;11.50;0.04
2023;Provincia;Chubut;J - INFORMACIÓN Y COMUNICACIONES;65.80;0.25
2023;Provincia;Chubut;M - SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS;10.00;0.04
2023;Provincia;Corrientes;C - INDUSTRIA MANUFACTURERA;153.90;0.57
2023;Provincia;Corrientes;G - COMERCIO AL POR MAYOR Y AL POR MENOR, REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;105.00;0.39
2023;Provincia;Corrientes;J - INFORMACIÓN Y COMUNICACIONES;125.40;0.47
2023;Provincia;Corrientes;M - SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS;181.20;0.68
2023;Provincia;Corrientes;Q - SALUD HUMANA Y SERVICIOS SOCIALES;60.70;0.23
2023;Provincia;Córdoba;C - INDUSTRIA MANUFACTURERA;18937.10;70.69
2023;Provincia;Córdoba;D - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO;168.00;0.63
2023;Provincia;Córdoba;G - COMERCIO AL POR MAYOR Y AL POR MENOR, REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;4594.00;17.15
2023;Provincia;Córdoba;J - INFORMACIÓN Y COMUNICACIONES;7989.90;29.83
2023;Provincia;Córdoba;K - INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS ;60.80;0.23
2023;Provincia;Córdoba;M - SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS;7683.60;28.68
2023;Provincia;Córdoba;N - ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO;65.30;0.24
2023;Provincia;Córdoba;P - ENSEÑANZA;104.70;0.39
2023;Provincia;Córdoba;Q - SALUD HUMANA Y SERVICIOS SOCIALES;2367.50;8.84
2023;Provincia;Córdoba;S - SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES ;5.80;0.02
2023;Provincia;Entre Ríos;C - INDUSTRIA MANUFACTURERA;2351.30;8.78
2023;Provincia;Entre Ríos;G - COMERCIO AL POR MAYOR Y AL POR MENOR, REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;55.70;0.21
2023;Provincia;Entre Ríos;J - INFORMACIÓN Y COMUNICACIONES;551.90;2.06
2023;Provincia;Entre Ríos;M - SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS;1209.00;4.51
2023;Provincia;Entre Ríos;Q - SALUD HUMANA Y SERVICIOS SOCIALES;38.40;0.14
2023;Provincia;Formosa;C - INDUSTRIA MANUFACTURERA;1031.00;3.85
2023;Provincia;Formosa;G - COMERCIO AL POR MAYOR Y AL POR MENOR, REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;18.90;0.07
2023;Provincia;Formosa;Q - SALUD HUMANA Y SERVICIOS SOCIALES;8.90;0.03
2023;Provincia;Jujuy;B - EXPLOTACIÓN  DE  MINAS  Y  CANTERAS;264.20;0.99
2023;Provincia;Jujuy;C - INDUSTRIA MANUFACTURERA;24.10;0.09
