anio;nivel_agregacion;unidad_territorial;ITEnfoqueindustria;fob_millones_uss
2010;Provincia;Buenos Aires;ALTA TECNOLOGIA;683.7794608
2010;Provincia;Buenos Aires;BAJA TECNOLOGIA;4989.311659
2010;Provincia;Buenos Aires;MEDIA ALTA TECNOLOGIA;8645.056134
2010;Provincia;Buenos Aires;MEDIA BAJA TECNOLOGIA;4138.14543
2010;Provincia;Buenos Aires;Sin Clasificar;4413.200246
2010;Provincia;C.A.B.A.;ALTA TECNOLOGIA;144.8198406
2010;Provincia;C.A.B.A.;BAJA TECNOLOGIA;125.6106717
2010;Provincia;C.A.B.A.;MEDIA ALTA TECNOLOGIA;42.90116698
2010;Provincia;C.A.B.A.;MEDIA BAJA TECNOLOGIA;13.8688605
2010;Provincia;C.A.B.A.;Sin Clasificar;48.45769514
2010;Provincia;Catamarca;ALTA TECNOLOGIA;0.17407596
2010;Provincia;Catamarca;BAJA TECNOLOGIA;117.4964553
2010;Provincia;Catamarca;MEDIA ALTA TECNOLOGIA;48.98908554
2010;Provincia;Catamarca;MEDIA BAJA TECNOLOGIA;0.013145
2010;Provincia;Catamarca;Sin Clasificar;1510.001075
2010;Provincia;Chaco;ALTA TECNOLOGIA;5.20076031
2010;Provincia;Chaco;BAJA TECNOLOGIA;84.07540531
2010;Provincia;Chaco;MEDIA ALTA TECNOLOGIA;56.33616779
2010;Provincia;Chaco;MEDIA BAJA TECNOLOGIA;0.10689286
2010;Provincia;Chaco;Sin Clasificar;227.9438846
2010;Provincia;Chubut;ALTA TECNOLOGIA;0.66640886
2010;Provincia;Chubut;BAJA TECNOLOGIA;550.6669677
2010;Provincia;Chubut;MEDIA ALTA TECNOLOGIA;6.27785346
2010;Provincia;Chubut;MEDIA BAJA TECNOLOGIA;2726.525831
2010;Provincia;Chubut;Sin Clasificar;23.43892889
2010;Provincia;Corrientes;ALTA TECNOLOGIA;0.214515
2010;Provincia;Corrientes;BAJA TECNOLOGIA;77.67709358
2010;Provincia;Corrientes;MEDIA ALTA TECNOLOGIA;0.3464045
2010;Provincia;Corrientes;MEDIA BAJA TECNOLOGIA;0.03872741
2010;Provincia;Corrientes;Sin Clasificar;76.73577756
2010;Provincia;Córdoba;ALTA TECNOLOGIA;80.44374097
2010;Provincia;Córdoba;BAJA TECNOLOGIA;3847.642745
2010;Provincia;Córdoba;MEDIA ALTA TECNOLOGIA;1988.940833
2010;Provincia;Córdoba;MEDIA BAJA TECNOLOGIA;120.0253274
2010;Provincia;Córdoba;Sin Clasificar;2449.859083
2010;Provincia;Entre Ríos;ALTA TECNOLOGIA;11.82267444
2010;Provincia;Entre Ríos;BAJA TECNOLOGIA;603.4516496
2010;Provincia;Entre Ríos;MEDIA ALTA TECNOLOGIA;54.36994658
2010;Provincia;Entre Ríos;MEDIA BAJA TECNOLOGIA;23.76609926
2010;Provincia;Entre Ríos;Sin Clasificar;883.736659
2010;Provincia;Formosa;BAJA TECNOLOGIA;4.69740318
2010;Provincia;Formosa;MEDIA ALTA TECNOLOGIA;10.59382607
2010;Provincia;Formosa;MEDIA BAJA TECNOLOGIA;12.44468467
2010;Provincia;Formosa;Sin Clasificar;8.24438542
2010;Provincia;Jujuy;ALTA TECNOLOGIA;0.0095526
2010;Provincia;Jujuy;BAJA TECNOLOGIA;195.8899881
2010;Provincia;Jujuy;MEDIA ALTA TECNOLOGIA;3.11418654
2010;Provincia;Jujuy;MEDIA BAJA TECNOLOGIA;39.16073297
2010;Provincia;Jujuy;Sin Clasificar;144.8577194
2010;Provincia;La Pampa;ALTA TECNOLOGIA;0.0216776
2010;Provincia;La Pampa;BAJA TECNOLOGIA;64.40915821
2010;Provincia;La Pampa;MEDIA ALTA TECNOLOGIA;0.32177134
2010;Provincia;La Pampa;MEDIA BAJA TECNOLOGIA;8.75623024
2010;Provincia;La Pampa;Sin Clasificar;215.7100674
2010;Provincia;La Rioja;ALTA TECNOLOGIA;16.2588163
2010;Provincia;La Rioja;BAJA TECNOLOGIA;190.9560369
2010;Provincia;La Rioja;MEDIA ALTA TECNOLOGIA;2.24864699
2010;Provincia;La Rioja;MEDIA BAJA TECNOLOGIA;4.25208894
2010;Provincia;La Rioja;Sin Clasificar;61.46613139
2010;Provincia;Mendoza;ALTA TECNOLOGIA;3.25724614
2010;Provincia;Mendoza;BAJA TECNOLOGIA;1233.528309
2010;Provincia;Mendoza;MEDIA ALTA TECNOLOGIA;229.4965281
2010;Provincia;Mendoza;MEDIA BAJA TECNOLOGIA;212.223744
2010;Provincia;Mendoza;Sin Clasificar;17.72308335
2010;Provincia;Misiones;ALTA TECNOLOGIA;0.009715
2010;Provincia;Misiones;BAJA TECNOLOGIA;526.1191008
2010;Provincia;Misiones;MEDIA ALTA TECNOLOGIA;2.0187614
2010;Provincia;Misiones;MEDIA BAJA TECNOLOGIA;0.02914734
2010;Provincia;Misiones;Sin Clasificar;0.38354273
2010;Provincia;Neuquén;ALTA TECNOLOGIA;0.09606018
