id;provincia;region_cofecyt;poblacion_censo_2022;superficie;vab_cepal_2022;tasas_actividad_eph_3trim_2024;tasa_empleo_3trim_2024;tasa_desocupacion_eph_3trim_2024;cant_empresas_sipa_2022;trabajo_registrado_sipa_2024;exportaciones_millones_uss_opex_2023;pea_miles_eph_3trim_2024;pea_miles_censo_2022;becario_id;docente;investigador;otro_personal;tasa_inv_millon_hab;tasa_inv_1000_pea
1;C.A.B.A.;Metropolitana;3121707;205.9;119159.71215748033;54.9;52.4;4.4;137124;1512.500;316;1650;1814;2772;8541;7254;3472;2324;4.0
3;Buenos Aires;Metropolitana;17523996;305907.4;196496.89785321188;48.1;44.1;8.3;197153;1968.000;26298;8472;8942;3403;12658;10410;3593;594;1.2
4;Catamarca;NOA;429562;101486.1;3784.42338480810;42.2;40.8;3.3;3537;36.100;276;144;213;81;600;361;214;840;1.7
7;Chaco;NEA;1129606;99763.3;9850.47529802920;39.9;37.1;7.1;9666;73.400;303;422;518;150;590;400;164;354;0.8
8;Chubut;Patagonia;592621;224302.3;11567.77074378313;42.3;41.1;3.5;9126;97.900;2703;257;307;234;517;534;221;901;1.7
5;Córdoba;Centro;3840905;164707.8;51372.14701740071;48.4;45.3;6.4;56839;520.100;8308;1708;1990;1563;4879;3694;1673;962;1.9
6;Corrientes;NEA;1212696;89123.3;7665.54909179662;41.2;39.8;3.5;10079;78.700;234;403;525;210;984;576;358;475;1.1
9;Entre Ríos;Centro;1425578;78383.7;16778.67640014281;42.8;41.1;3.9;18272;135.300;1115;542;684;207;1555;625;347;438;0.9
10;Formosa;NEA;607419;75488.3;3844.28704145213;37.6;36.1;4.1;2953;22.100;21;194;258;20;284;85;76;140;0.3
11;Jujuy;NOA;811611;53244.2;6525.84432908077;46.4;44.3;4.5;5392;59.200;1060;328;397;157;635;441;255;543;1.1
12;La Pampa;Patagonia;361859;143492.5;6405.57401060516;50.4;47.2;6.4;7153;39.000;778;162;187;75;544;389;140;1075;2.1
13;La Rioja;NOA;383865;91493.7;3485.27913427120;46.1;44.7;3.2;2987;29.600;199;168;196;28;536;317;123;826;1.6
14;Mendoza;Cuyo;2043540;149069.2;19651.32405244783;45.1;42.8;5.2;26834;246.700;1312;764;1005;414;1995;1375;612;673;1.4
15;Misiones;NEA;1278873;29911.4;8056.82361773256;45.5;44.0;3.2;10609;103.100;363;465;579;205;1065;651;414;509;1.1
16;Neuquén;Patagonia;710814;94422.0;20996.06553901898;45.3;42.6;5.8;10123;146.800;3024;282;371;111;477;421;170;592;1.1
17;Río Negro;Patagonia;750768;202168.6;8553.77710041627;43.0;41.6;3.2;11360;111.000;485;298;387;363;774;1026;413;1367;2.7
18;Salta;NOA;1441351;155340.5;11285.19816316193;43.3;40.9;5.3;10361;126.400;1102;576;671;205;860;551;376;382;0.8
19;San Juan;Cuyo;822853;88296.2;7853.19303975215;44.8;42.8;4.5;7591;77.000;1160;319;375;266;974;638;260;775;1.7
20;San Luis;Cuyo;542069;75347.1;6217.84810114443;45.8;44.1;3.8;5675;52.000;608;214;275;199;1099;842;283;1553;3.1
21;Santa Cruz;Patagonia;337226;244457.5;8568.98105124534;46.3;43.2;6.7;4520;57.300;2136;181;172;37;311;240;55;712;1.4
22;Santa Fe;Centro;3544908;133249.1;47251.22652574936;49.4;46.7;5.5;54408;510.000;11612;1654;1811;1009;4633;3215;918;907;1.8
23;Santiago del Estero;NOA;1060906;136934.3;10927.28214736435;42.7;41.8;2.0;6620;49.900;883;317;449;122;354;331;129;312;0.7
25;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Patagonia;185732;910324.4;5847.96754003935;50.9;46.8;8.1;2845;35.400;329;91;102;64;119;168;115;905;1.6
24;Tucumán;NOA;1731820;22592.1;11856.80824113833;46.0;42.9;6.8;12249;159.700;773;656;811;402;1645;1450;539;837;1.8
99;Total País;Total País;45892285;3669710.9;604311.96743535099;47.2;44.2;6.4;623476;13254.266;66844;20267;23051;12297;46629;35994;14920;784;1.6
100;Centro;Centro;8811391;376340.6;115402.04994329288;NA;NA;NA;129519;1165.400;21035;3904;4485;2779;11067;7534;2938;855;1.7
101;Cuyo;Cuyo;3408462;312712.5;33722.36519334441;NA;NA;NA;40100;375.700;3080;1297;1655;879;4068;2855;1155;838;1.7
102;Metropolitana;Metropolitana;20645703;306113.3;315656.61001069221;NA;NA;NA;334277;3480.500;26614;10122;10756;6175;21199;17664;7065;856;1.6
103;NEA;NEA;4228594;294286.3;29417.13504901051;NA;NA;NA;33307;277.300;921;1484;1880;585;2923;1712;1012;405;0.9
104;NOA;NOA;5859115;561090.9;47864.83539982467;NA;NA;NA;41146;460.900;4293;2189;2737;995;4630;3451;1636;589;1.3
105;Patagonia;Patagonia;2939020;1819167.3;61940.13598510822;NA;NA;NA;45127;487.400;9455;1271;1526;884;2742;2778;1114;945;1.8
