anio;nivel_agregacion;unidad_territorial;tipo_institucion_ract;monto_inversion;monto_inversion_constante_2004
2019;Provincia;Buenos Aires;ESFL;70.60;2.30
2019;Provincia;Catamarca;ESFL;0.00;0.00
2019;Provincia;Chaco;ESFL;0.30;0.00
2019;Provincia;Chubut;ESFL;18.00;0.60
2019;Provincia;C.A.B.A.;ESFL;954.20;30.70
2019;Provincia;Córdoba;ESFL;30.50;1.00
2019;Provincia;Corrientes;ESFL;0.90;0.00
2019;Provincia;Entre Ríos;ESFL;0.10;0.00
2019;Provincia;Formosa;ESFL;0.10;0.00
2019;Provincia;Jujuy;ESFL;0.00;0.00
2019;Provincia;La Pampa;ESFL;0.00;0.00
2019;Provincia;La Rioja;ESFL;0.00;0.00
2019;Provincia;Mendoza;ESFL;20.80;0.70
2019;Provincia;Misiones;ESFL;1.10;0.00
2019;Provincia;Neuquén;ESFL;17.50;0.60
2019;Provincia;Río Negro;ESFL;24.10;0.80
2019;Provincia;Salta;ESFL;9.40;0.30
2019;Provincia;San Juan;ESFL;0.00;0.00
2019;Provincia;San Luis;ESFL;0.00;0.00
2019;Provincia;Santa Cruz;ESFL;4.00;0.10
2019;Provincia;Santa Fe;ESFL;12.50;0.40
2019;Provincia;Santiago del Estero;ESFL;0.10;0.00
2019;Provincia;Tierra del Fuego. Antártida e Islas del Atlántico Sur;ESFL;0.00;0.00
2019;Provincia;Tucumán;ESFL;5.40;0.20
2019;Provincia;Buenos Aires;UPUB;6363.40;204.60
2019;Provincia;Catamarca;UPUB;150.40;4.80
2019;Provincia;Chaco;UPUB;260.90;8.40
2019;Provincia;Chubut;UPUB;193.00;6.20
2019;Provincia;C.A.B.A.;UPUB;6944.20;223.30
2019;Provincia;Córdoba;UPUB;1481.80;47.60
2019;Provincia;Corrientes;UPUB;258.10;8.30
2019;Provincia;Entre Ríos;UPUB;436.30;14.00
2019;Provincia;Formosa;UPUB;134.50;4.30
2019;Provincia;Jujuy;UPUB;537.30;17.30
2019;Provincia;La Pampa;UPUB;285.90;9.20
2019;Provincia;La Rioja;UPUB;332.90;10.70
2019;Provincia;Mendoza;UPUB;507.10;16.30
2019;Provincia;Misiones;UPUB;370.00;11.90
2019;Provincia;Neuquén;UPUB;275.30;8.90
2019;Provincia;Río Negro;UPUB;548.40;17.60
2019;Provincia;Salta;UPUB;210.90;6.80
2019;Provincia;San Juan;UPUB;87.60;2.80
2019;Provincia;San Luis;UPUB;931.40;29.90
2019;Provincia;Santa Cruz;UPUB;287.70;9.30
2019;Provincia;Santa Fe;UPUB;2466.40;79.30
2019;Provincia;Santiago del Estero;UPUB;230.00;7.40
2019;Provincia;Tierra del Fuego. Antártida e Islas del Atlántico Sur;UPUB;101.10;3.30
2019;Provincia;Tucumán;UPUB;908.90;29.20
2019;Provincia;Buenos Aires;UPRI;264.20;8.50
2019;Provincia;Catamarca;UPRI;0.00;0.00
2019;Provincia;Chaco;UPRI;1.00;0.00
2019;Provincia;Chubut;UPRI;0.00;0.00
2019;Provincia;C.A.B.A.;UPRI;786.60;25.30
2019;Provincia;Córdoba;UPRI;76.50;2.50
2019;Provincia;Corrientes;UPRI;12.60;0.40
2019;Provincia;Entre Ríos;UPRI;20.90;0.70
2019;Provincia;Formosa;UPRI;1.20;0.00
2019;Provincia;Jujuy;UPRI;0.00;0.00
2019;Provincia;La Pampa;UPRI;0.00;0.00
2019;Provincia;La Rioja;UPRI;1.40;0.00
2019;Provincia;Mendoza;UPRI;72.60;2.30
2019;Provincia;Misiones;UPRI;26.30;0.80
2019;Provincia;Neuquén;UPRI;0.10;0.00
2019;Provincia;Río Negro;UPRI;2.60;0.10
2019;Provincia;Salta;UPRI;16.00;0.50
2019;Provincia;San Juan;UPRI;2.90;0.10
2019;Provincia;San Luis;UPRI;2.20;0.10
2019;Provincia;Santa Cruz;UPRI;0.00;0.00
2019;Provincia;Santa Fe;UPRI;54.90;1.80
2019;Provincia;Santiago del Estero;UPRI;0.00;0.00
2019;Provincia;Tierra del Fuego. Antártida e Islas del Atlántico Sur;UPRI;0.50;0.00
2019;Provincia;Tucumán;UPRI;16.70;0.50
2019;Provincia;Buenos Aires;OCT;13828.40;444.70
2019;Provincia;Catamarca;OCT;181.50;5.80
2019;Provincia;Chaco;OCT;324.70;10.40
2019;Provincia;Chubut;OCT;837.80;26.90
2019;Provincia;C.A.B.A.;OCT;7546.40;242.70
2019;Provincia;Córdoba;OCT;3284.70;105.60
2019;Provincia;Corrientes;OCT;456.20;14.70
2019;Provincia;Entre Ríos;OCT;556.70;17.90
2019;Provincia;Formosa;OCT;170.40;5.50
2019;Provincia;Jujuy;OCT;356.20;11.50
2019;Provincia;La Pampa;OCT;250.20;8.00
2019;Provincia;La Rioja;OCT;169.60;5.50
2019;Provincia;Mendoza;OCT;1675.30;53.90
2019;Provincia;Misiones;OCT;484.90;15.60
2019;Provincia;Neuquén;OCT;198.80;6.40
2019;Provincia;Río Negro;OCT;3013.20;96.90
2019;Provincia;Salta;OCT;606.00;19.50
2019;Provincia;San Juan;OCT;573.90;18.50
2019;Provincia;San Luis;OCT;293.30;9.40
2019;Provincia;Santa Cruz;OCT;136.00;4.40
2019;Provincia;Santa Fe;OCT;2289.00;73.60
2019;Provincia;Santiago del Estero;OCT;231.90;7.50
