anio;nivel_agregacion;unidad_territorial;monto_inversion;cant_investigadores;cant_articulos;inversion_investigador;articulos_investigador
2019;País;Total País;103077.9;37143;29098;2.8;0.78
2019;Provincia;Buenos Aires;31198.7;10403;9472;3.0;0.91
2019;Provincia;C.A.B.A.;31328.2;7483;12357;4.2;1.65
2019;Provincia;Catamarca;338.9;440;182;0.8;0.41
2019;Provincia;Chaco;697.6;403;228;1.7;0.57
2019;Provincia;Chubut;1214.1;528;488;2.3;0.92
2019;Provincia;Corrientes;804.9;564;509;1.4;0.90
2019;Provincia;Córdoba;9470.6;4509;3424;2.1;0.76
2019;Provincia;Entre Ríos;1411.0;592;474;2.4;0.80
2019;Provincia;Formosa;317.2;86;33;3.7;0.38
2019;Provincia;Jujuy;927.3;418;269;2.2;0.64
2019;Provincia;La Pampa;677.8;375;335;1.8;0.89
2019;Provincia;La Rioja;657.5;263;129;2.5;0.49
2019;Provincia;Mendoza;2826.9;1315;1110;2.1;0.84
2019;Provincia;Misiones;914.1;641;374;1.4;0.58
2019;Provincia;Neuquén;562.5;423;313;1.3;0.74
2019;Provincia;Río Negro;4334.0;1012;928;4.3;0.92
2019;Provincia;Salta;1083.4;592;402;1.8;0.68
2019;Provincia;San Juan;727.7;690;397;1.1;0.58
2019;Provincia;San Luis;1700.5;949;629;1.8;0.66
2019;Provincia;Santa Cruz;468.6;240;140;2.0;0.58
2019;Provincia;Santa Fe;7669.4;3237;2649;2.4;0.82
2019;Provincia;Santiago del Estero;493.6;315;193;1.6;0.61
2019;Provincia;Tierra del Fuego, Antártida e Islas del Atlántico Sur;385.6;139;168;2.8;1.21
2019;Provincia;Tucumán;2867.8;1526;979;1.9;0.64
2019;Región;Centro;18551.0;8338;6421;2.2;0.77
2019;Región;Cuyo;5255.1;2954;2049;1.8;0.69
2019;Región;Metropolitana;62526.9;17886;19141;3.5;1.07
2019;Región;NEA;2733.8;1694;1089;1.6;0.64
2019;Región;NOA;6368.5;3554;2024;1.8;0.57
2019;Región;Patagonia;7642.6;2717;2244;2.8;0.83
2020;País;Total País;147276.4;36787;31681;4.0;0.86
2020;Provincia;Buenos Aires;47636.0;10266;10554;4.6;1.03
2020;Provincia;C.A.B.A.;47737.6;7426;13287;6.4;1.79
2020;Provincia;Catamarca;414.3;386;164;1.1;0.42
2020;Provincia;Chaco;1018.1;418;250;2.4;0.60
2020;Provincia;Chubut;1743.4;522;536;3.3;1.03
2020;Provincia;Corrientes;1101.2;540;603;2.0;1.12
2020;Provincia;Córdoba;12884.1;4508;3683;2.9;0.82
2020;Provincia;Entre Ríos;1561.4;616;507;2.5;0.82
2020;Provincia;Formosa;610.5;94;43;6.5;0.46
2020;Provincia;Jujuy;1183.2;406;300;2.9;0.74
2020;Provincia;La Pampa;668.2;381;376;1.8;0.99
2020;Provincia;La Rioja;745.6;280;118;2.7;0.42
2020;Provincia;Mendoza;3482.2;1353;1186;2.6;0.88
2020;Provincia;Misiones;1221.3;639;450;1.9;0.70
2020;Provincia;Neuquén;984.3;433;345;2.3;0.80
2020;Provincia;Río Negro;3956.8;1016;1063;3.9;1.05
2020;Provincia;Salta;1199.1;592;448;2.0;0.76
2020;Provincia;San Juan;922.8;669;470;1.4;0.70
2020;Provincia;San Luis;2154.8;950;580;2.3;0.61
2020;Provincia;Santa Cruz;558.5;242;167;2.3;0.69
2020;Provincia;Santa Fe;10342.2;3106;2870;3.3;0.92
2020;Provincia;Santiago del Estero;779.4;305;222;2.6;0.73
2020;Provincia;Tierra del Fuego, Antártida e Islas del Atlántico Sur;499.7;153;262;3.3;1.71
2020;Provincia;Tucumán;3871.7;1486;1068;2.6;0.72
2020;Región;Centro;24787.7;8230;6905;3.0;0.84
2020;Región;Cuyo;6559.8;2972;2160;2.2;0.73
2020;Región;Metropolitana;95373.6;17692;20866;5.4;1.18
2020;Región;NEA;3951.1;1691;1279;2.3;0.76
2020;Región;NOA;8193.3;3455;2174;2.4;0.63
2020;Región;Patagonia;8410.9;2747;2587;3.1;0.94
2021;País;Total País;242003.9;36641;29934;6.6;0.82
2021;Provincia;Buenos Aires;82046.2;10318;9774;8.0;0.95
2021;Provincia;C.A.B.A.;75675.4;7465;13275;10.1;1.78
2021;Provincia;Catamarca;656.2;347;171;1.9;0.49
2021;Provincia;Chaco;1447.5;414;267;3.5;0.64
2021;Provincia;Chubut;2857.2;525;509;5.4;0.97
