organizacion_id;organizacion;nivel_1;provincia
25;CENTRO ATOMICO BARILOCHE;COMISION NACIONAL DE ENERGIA ATOMICA;Río Negro
44;INSTITUTO ANTARTICO ARGENTINO;INSTITUTO ANTARTICO ARGENTINO;Buenos Aires
59;INSTITUTO NACIONAL DE PARASITOLOGIA DOCTOR MARIO FATALA CHABEN;"ADMINISTRACION NACIONAL DE LABORATORIOS E INSTITUTOS DE SALUD ""DR. CARLOS G. MALBRAN""";C.A.B.A.
60;INSTITUTO NACIONAL DE EPIDEMIOLOGIA DOCTOR JUAN JARA;"ADMINISTRACION NACIONAL DE LABORATORIOS E INSTITUTOS DE SALUD ""DR. CARLOS G. MALBRAN""";Buenos Aires
65;ESTACION EXPERIMENTAL.AGROPECUARIA FAMAILLA;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Tucumán
66;ESTACION EXPERIMENTAL AGROPECUARIA SANTIAGO DEL ESTERO;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Santiago del Estero
67;ESTACION EXPERIMENTAL AGROPECUARIA LAS BREÑAS;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Chaco
69;ESTACION EXPERIMENTAL AGROPECUARIA OLIVEROS;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Santa Fe
70;ESTACION EXPERIMENTAL AGROPECUARIA RECONQUISTA;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Santa Fe
71;ESTACION EXPERIMENTAL AGROPECUARIA RAFAELA;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Santa Fe
72;ESTACION EXPERIMENTAL AGROPECUARIA PARANA;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Entre Ríos
73;ESTACION EXPERIMENTAL AGROPECUARIA MENDOZA;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Mendoza
74;ESTACION EXPERIMENTAL AGROPECUARIA LA CONSULTA;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Mendoza
75;ESTACION EXPERIMENTAL AGROPECUARIA RAMA CAIDA;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Mendoza
76;ESTACION EXPERIMENTAL AGROPECUARIA SAN JUAN;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;San Juan
77;ESTACION EXPERIMENTAL AGROPECUARIA MARCOS JUAREZ;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Córdoba
78;ESTACION EXPERIMENTAL AGROPECUARIA MANFREDI;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Córdoba
79;ESTACION EXPERIMENTAL AGROPECUARIA PERGAMINO;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Buenos Aires
80;ESTACION EXPERIMENTAL AGROPECUARIA ANGUIL;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;La Pampa
81;ESTACION EXPERIMENTAL AGROPECUARIA BORDENAVE;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Buenos Aires
82;ESTACION EXPERIMENTAL AGROPECUARIA BALCARCE;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Buenos Aires
83;ESTACION EXPERIMENTAL AGROPECUARIA HILARIO ASCASUBI;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Buenos Aires
84;ESTACION EXPERIMENTAL AGROPECUARIA SAN CARLOS DE BARILOCHE;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Río Negro
85;CENTRO NACIONAL DE INVESTIGACIONES AGROPECUARIAS;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Buenos Aires
86;CENTRO DE INVESTIGACION DE RECURSOS NATURALES;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Buenos Aires
87;INSTITUTO DE GENETICA;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Buenos Aires
88;INSTITUTO DE MICROBIOLOGIA Y ZOOLOGIA AGRICOLA;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Buenos Aires
89;INSTITUTO DE VIROLOGIA;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Buenos Aires
97;INSTITUTO NACIONAL DE INVESTIGACION Y DESARROLLO PESQUERO;INSTITUTO NACIONAL DE INVESTIGACION Y DESARROLLO PESQUERO;Buenos Aires
121;INSTITUTO DE ING.BIOMEDICA;UNIVERSIDAD DE BUENOS AIRES;C.A.B.A.
178;INSTITUTO DE LINGUISTICA;UNIVERSIDAD DE BUENOS AIRES;C.A.B.A.
179;"INSTITUTO DE HISTORIA ANTIGUA Y ORIENTAL ""DR. A. ROSSENVASSER""";UNIVERSIDAD DE BUENOS AIRES;C.A.B.A.
180;"INSTITUTO DE HISTORIA DE ESPAÑA ""DOCTOR CLAUDIO SANCHEZ ALBORNOZ""";UNIVERSIDAD DE BUENOS AIRES;C.A.B.A.
182;"INSTITUTO DE TEORIA E HISTORIA DEL ARTE ""JULIO E. PAYRO""";UNIVERSIDAD DE BUENOS AIRES;C.A.B.A.
183;INSTITUTO DE CS.ANTROPOLOGICAS;UNIVERSIDAD DE BUENOS AIRES;C.A.B.A.
185;"INSTITUTO DE GEOGRAFIA ""ROMUALDO ARDISSONE""";UNIVERSIDAD DE BUENOS AIRES;C.A.B.A.
186;INSTITUTO DE LITERATURA HISPANOAMERICANA;UNIVERSIDAD DE BUENOS AIRES;C.A.B.A.
188;"INSTITUTO DE FILOLOGIA Y LITERATURA HISPANICA ""DOCTOR A. ALONSO""";UNIVERSIDAD DE BUENOS AIRES;C.A.B.A.
189;INSTITUTO DE CIENCIAS DE LA EDUCACION;UNIVERSIDAD DE BUENOS AIRES;C.A.B.A.
190;"INSTITUTO DE HISTORIA ANTIGUA Y MEDIEVAL ""PROFESOR J. L. ROMERO""";UNIVERSIDAD DE BUENOS AIRES;C.A.B.A.
191;INSTITUTO DE FILOLOGIA CLASICA;UNIVERSIDAD DE BUENOS AIRES;C.A.B.A.
198;"INSTITUTO DE ONCOLOGIA ""DR.ANGEL ROFFO""";UNIVERSIDAD DE BUENOS AIRES;C.A.B.A.
