anio;indicador;variable;nivel_agregacion;unidad_territorial;valor
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;C.A.B.A.;0.364485981
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;Buenos Aires;0.393522345
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;Catamarca;0.446540881
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;Chaco;0.420245399
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;Chubut;0.423333333
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;Córdoba;0.419672131
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;Corrientes;0.443076923
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;Entre Ríos;0.415584416
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;Formosa;0.426666667
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;Jujuy;0.428571429
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;La Pampa;0.418397626
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;La Rioja;0.466666667
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;Mendoza;0.44057971
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;Misiones;0.415625
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;Neuquén;0.402985075
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;Río Negro;0.359133127
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;Salta;0.362745098
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;San Juan;0.391780822
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;San Luis;0.405844156
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;Santa Cruz;0.415282392
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;Santa Fe;0.383435583
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;Santiago del Estero;0.375415282
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;Tierra del Fuego;0.343333333
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Desarrollo de una economía sostenible;Provincia;Tucumán;0.436065574
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;C.A.B.A.;0.436137072
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;Buenos Aires;0.461914401
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;Catamarca;0.471698113
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;Chaco;0.576687117
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;Chubut;0.386666667
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;Córdoba;0.445901639
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;Corrientes;0.556923077
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;Entre Ríos;0.415584416
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;Formosa;0.576666667
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;Jujuy;0.457142857
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;La Pampa;0.412462908
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;La Rioja;0.473333333
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;Mendoza;0.460869565
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;Misiones;0.425
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;Neuquén;0.426865672
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;Río Negro;0.417956656
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;Salta;0.467320261
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;San Juan;0.498630137
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;San Luis;0.49025974
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;Santa Cruz;0.325581395
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;Santa Fe;0.5
2023;18 ¿Y cuáles de los siguientes temas te resultan prioritarios para la agenda de ciencia y tecnología de la provincia donde vivís?;Reducción de pobreza y desigualdades;Provincia;Santiago del Estero;0.617940199
