anio;id_pfi;cupo;region_cofecyt;provincia;tema;sector;vertical;tecnologias;vertical_tecnologia
2022;BA-1-PFI-2022;SI;METROPOLITANA;BUENOS AIRES;Energía y minería;PRIVADO;Energía y minería;IA;Energía y minería / IA
2022;BA-2-PFI-2022;SI;METROPOLITANA;BUENOS AIRES;Energía y minería;PRIVADO;Energía y minería;IA;Energía y minería / IA
2022;BA-3-PFI-2022;SI;METROPOLITANA;BUENOS AIRES;Otro;PRIVADO;Otro;Otro;Otro / Otro
2022;BA-4-PFI-2022;SI;METROPOLITANA;BUENOS AIRES;Otro;PRIVADO;Otro;Otro;Otro / Otro
2022;BA-5-PFI-2022;SI;METROPOLITANA;BUENOS AIRES;Salud;PRIVADO;Salud;Sin especificar;Salud / Sin especificar
2022;CAB-1-PFI-2022;SI;METROPOLITANA;CABA;Salud;PRIVADO;Salud;Sin especificar;Salud / Sin especificar
2022;CAB-2-PFI-2022;SI;METROPOLITANA;CABA;Otro;PUBLICO;Otro;Otro;Otro / Otro
2022;CAB-3-PFI-2022;SI;METROPOLITANA;CABA;Salud;PUBLICO;Salud;Sin especificar;Salud / Sin especificar
2022;CAB-5-PFI-2022;SI;METROPOLITANA;CABA;Otro;PUBLICO;Otro;Otro;Otro / Otro
2022;CA-1-PFI-2022;SI;NOA;CATAMARCA;Energía y minería;PUBLICO;Energía y minería;IA;Energía y minería / IA
2022;CA-2-PFI-2022;SI;NOA;CATAMARCA;Salud;PUBLICO;Salud;Sin especificar;Salud / Sin especificar
2022;CA-3-PFI-2022;SI;NOA;CATAMARCA;Otro;PUBLICO;Otro;Otro;Otro / Otro
2022;CA-4-PFI-2022;SI;NOA;CATAMARCA;Agroindustria;PUBLICO;Agroindustria;Sin especificar;Agroindustria / Sin especificar
2022;CA-5-PFI-2022;SI;NOA;CATAMARCA;Energía y minería;PUBLICO;Energía y minería;IA;Energía y minería / IA
2022;CA-6-PFI-2022;SI;NOA;CATAMARCA;Otro;PUBLICO;Otro;Otro;Otro / Otro
2022;CA-7-PFI-2022;SI;NOA;CATAMARCA;Agroindustria;PUBLICO;Agroindustria;Sin especificar;Agroindustria / Sin especificar
2022;CA-8-PFI-2022;SI;NOA;CATAMARCA;Otro;PUBLICO;Otro;Otro;Otro / Otro
2022;CH-1-PFI-2022;SI;NEA;CHACO;"Agroindustria, IA";PUBLICO;Agroindustria;Sin especificar;Agroindustria / Sin especificar
2022;CH-2-PFI-2022;SI;NEA;CHACO;"Agroindustria, IA";PRIVADO;Agroindustria;Sin especificar;Agroindustria / Sin especificar
2022;CH-3-PFI-2022;SI;NEA;CHACO;"Agroindustria, Biotecnología/Nanotecnología";PUBLICO;Agroindustria;Bio y Nanotecnología;Agroindustria / Bio y Nanotecnología
2022;CH-4-PFI-2022;SI;NEA;CHACO;Otro;PRIVADO;Otro;Otro;Otro / Otro
2022;CH-5-PFI-2022;SI;NEA;CHACO;"Energía y minería, IA";PRIVADO;Energía y minería;IA;Energía y minería / IA
2022;CH-6-PFI-2022;SI;NEA;CHACO;Otro;PRIVADO;Otro;Otro;Otro / Otro
2022;CH-7-PFI-2022;SI;NEA;CHACO;Otro;PUBLICO;Otro;Otro;Otro / Otro
2022;CH-8-PFI-2022;SI;NEA;CHACO;Salud;PUBLICO;Salud;Sin especificar;Salud / Sin especificar
2022;CH-9-PFI-2022;SI;NEA;CHACO;Agroindustria;PUBLICO;Agroindustria;Sin especificar;Agroindustria / Sin especificar
2022;CH-10-PFI-2022;SI;NEA;CHACO;Otro;PUBLICO;Otro;Otro;Otro / Otro
2022;CH-11-PFI-2022;SI;NEA;CHACO;Salud;PUBLICO;Salud;Sin especificar;Salud / Sin especificar
2022;CT-1-PFI-2022;SI;PATAGONIA;CHUBUT;Otro;PUBLICO;Otro;Otro;Otro / Otro
2022;CT-2-PFI-2022;SI;PATAGONIA;CHUBUT;"Agroindustria, Biotecnología/Nanotecnología";PUBLICO;Agroindustria;Bio y Nanotecnología;Agroindustria / Bio y Nanotecnología
2022;CT-3-PFI-2022;SI;PATAGONIA;CHUBUT;IA;PUBLICO;Sin especificar;Sin especificar;Sin especificar / Sin especificar
2022;CT-4-PFI-2022;SI;PATAGONIA;CHUBUT;Otro;PRIVADO;Otro;Otro;Otro / Otro
2022;CT-5-PFI-2022;SI;PATAGONIA;CHUBUT;Agroindustria;PUBLICO;Agroindustria;Sin especificar;Agroindustria / Sin especificar
2022;CB-1-PFI-2022;SI;CENTRO;CORDOBA;Salud;PUBLICO;Salud;Sin especificar;Salud / Sin especificar
2022;CB-2-PFI-2022;SI;CENTRO;CORDOBA;Salud;PUBLICO;Salud;Sin especificar;Salud / Sin especificar
2022;CB-3-PFI-2022;SI;CENTRO;CORDOBA;Energía y minería;PUBLICO;Energía y minería;IA;Energía y minería / IA
2022;CB-4-PFI-2022;SI;CENTRO;CORDOBA;Energía y minería;PUBLICO;Energía y minería;IA;Energía y minería / IA
2022;CB-5-PFI-2022;SI;CENTRO;CORDOBA;Salud;PRIVADO;Salud;Sin especificar;Salud / Sin especificar
2022;CB-6-PFI-2022;SI;CENTRO;CORDOBA;Agroindustria;PRIVADO;Agroindustria;Sin especificar;Agroindustria / Sin especificar
2022;CB-7-PFI-2022;SI;CENTRO;CORDOBA;Energía y minería;PRIVADO;Energía y minería;IA;Energía y minería / IA
