provincia_id;anio;tipo_institucion_ract;tipo_personal;tipo_jornada;valor
3;2019;ESFL;Investigador;EJC;19
4;2019;ESFL;Investigador;EJC;0
7;2019;ESFL;Investigador;EJC;0
8;2019;ESFL;Investigador;EJC;0
1;2019;ESFL;Investigador;EJC;234
5;2019;ESFL;Investigador;EJC;6
6;2019;ESFL;Investigador;EJC;0
9;2019;ESFL;Investigador;EJC;1
10;2019;ESFL;Investigador;EJC;0
11;2019;ESFL;Investigador;EJC;0
12;2019;ESFL;Investigador;EJC;0
13;2019;ESFL;Investigador;EJC;0
14;2019;ESFL;Investigador;EJC;1
15;2019;ESFL;Investigador;EJC;1
16;2019;ESFL;Investigador;EJC;2
17;2019;ESFL;Investigador;EJC;9
18;2019;ESFL;Investigador;EJC;0
19;2019;ESFL;Investigador;EJC;0
20;2019;ESFL;Investigador;EJC;0
21;2019;ESFL;Investigador;EJC;0
22;2019;ESFL;Investigador;EJC;1
23;2019;ESFL;Investigador;EJC;0
25;2019;ESFL;Investigador;EJC;0
24;2019;ESFL;Investigador;EJC;1
3;2019;ESFL;Becario;EJC;10
4;2019;ESFL;Becario;EJC;0
7;2019;ESFL;Becario;EJC;0
8;2019;ESFL;Becario;EJC;1
1;2019;ESFL;Becario;EJC;39
5;2019;ESFL;Becario;EJC;9
6;2019;ESFL;Becario;EJC;0
9;2019;ESFL;Becario;EJC;0
10;2019;ESFL;Becario;EJC;0
11;2019;ESFL;Becario;EJC;0
12;2019;ESFL;Becario;EJC;0
13;2019;ESFL;Becario;EJC;0
14;2019;ESFL;Becario;EJC;0
15;2019;ESFL;Becario;EJC;0
16;2019;ESFL;Becario;EJC;1
17;2019;ESFL;Becario;EJC;1
18;2019;ESFL;Becario;EJC;1
19;2019;ESFL;Becario;EJC;0
20;2019;ESFL;Becario;EJC;0
21;2019;ESFL;Becario;EJC;0
22;2019;ESFL;Becario;EJC;0
23;2019;ESFL;Becario;EJC;0
25;2019;ESFL;Becario;EJC;0
24;2019;ESFL;Becario;EJC;0
3;2019;ESFL;Técnico;EJC;11
4;2019;ESFL;Técnico;EJC;0
7;2019;ESFL;Técnico;EJC;0
8;2019;ESFL;Técnico;EJC;7
1;2019;ESFL;Técnico;EJC;132
5;2019;ESFL;Técnico;EJC;7
6;2019;ESFL;Técnico;EJC;0
9;2019;ESFL;Técnico;EJC;0
10;2019;ESFL;Técnico;EJC;0
11;2019;ESFL;Técnico;EJC;0
12;2019;ESFL;Técnico;EJC;0
13;2019;ESFL;Técnico;EJC;0
14;2019;ESFL;Técnico;EJC;6
15;2019;ESFL;Técnico;EJC;0
16;2019;ESFL;Técnico;EJC;5
17;2019;ESFL;Técnico;EJC;1
18;2019;ESFL;Técnico;EJC;3
19;2019;ESFL;Técnico;EJC;0
20;2019;ESFL;Técnico;EJC;0
21;2019;ESFL;Técnico;EJC;6
22;2019;ESFL;Técnico;EJC;4
