anio;nivel_agregacion;unidad_territorial;tipo_personal_sicytar;es_conicet;sexo_descripcion;gran_area_experticia;cant_personas
2019;Provincia;Buenos Aires;BECARIO DE I+D;0;FEMENINO;CIENCIAS AGRÍCOLAS;67
2019;Provincia;Buenos Aires;BECARIO DE I+D;0;FEMENINO;CIENCIAS MÉDICAS Y DE LA SALUD;44
2019;Provincia;Buenos Aires;BECARIO DE I+D;0;FEMENINO;CIENCIAS NATURALES Y EXACTAS;200
2019;Provincia;Buenos Aires;BECARIO DE I+D;0;FEMENINO;CIENCIAS SOCIALES;206
2019;Provincia;Buenos Aires;BECARIO DE I+D;0;FEMENINO;HUMANIDADES;127
2019;Provincia;Buenos Aires;BECARIO DE I+D;0;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;93
2019;Provincia;Buenos Aires;BECARIO DE I+D;0;MASCULINO;CIENCIAS AGRÍCOLAS;47
2019;Provincia;Buenos Aires;BECARIO DE I+D;0;MASCULINO;CIENCIAS MÉDICAS Y DE LA SALUD;20
2019;Provincia;Buenos Aires;BECARIO DE I+D;0;MASCULINO;CIENCIAS NATURALES Y EXACTAS;148
2019;Provincia;Buenos Aires;BECARIO DE I+D;0;MASCULINO;CIENCIAS SOCIALES;104
2019;Provincia;Buenos Aires;BECARIO DE I+D;0;MASCULINO;HUMANIDADES;62
2019;Provincia;Buenos Aires;BECARIO DE I+D;0;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;114
2019;Provincia;Buenos Aires;BECARIO DE I+D;1;FEMENINO;CIENCIAS AGRÍCOLAS;114
2019;Provincia;Buenos Aires;BECARIO DE I+D;1;FEMENINO;CIENCIAS MÉDICAS Y DE LA SALUD;69
2019;Provincia;Buenos Aires;BECARIO DE I+D;1;FEMENINO;CIENCIAS NATURALES Y EXACTAS;574
2019;Provincia;Buenos Aires;BECARIO DE I+D;1;FEMENINO;CIENCIAS SOCIALES;251
2019;Provincia;Buenos Aires;BECARIO DE I+D;1;FEMENINO;HUMANIDADES;115
2019;Provincia;Buenos Aires;BECARIO DE I+D;1;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;180
2019;Provincia;Buenos Aires;BECARIO DE I+D;1;MASCULINO;CIENCIAS AGRÍCOLAS;58
2019;Provincia;Buenos Aires;BECARIO DE I+D;1;MASCULINO;CIENCIAS MÉDICAS Y DE LA SALUD;31
2019;Provincia;Buenos Aires;BECARIO DE I+D;1;MASCULINO;CIENCIAS NATURALES Y EXACTAS;427
2019;Provincia;Buenos Aires;BECARIO DE I+D;1;MASCULINO;CIENCIAS SOCIALES;165
2019;Provincia;Buenos Aires;BECARIO DE I+D;1;MASCULINO;HUMANIDADES;95
2019;Provincia;Buenos Aires;BECARIO DE I+D;1;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;140
2019;Provincia;Buenos Aires;DOCENTE;0;FEMENINO;CIENCIAS AGRÍCOLAS;195
2019;Provincia;Buenos Aires;DOCENTE;0;FEMENINO;CIENCIAS MÉDICAS Y DE LA SALUD;966
2019;Provincia;Buenos Aires;DOCENTE;0;FEMENINO;CIENCIAS NATURALES Y EXACTAS;803
2019;Provincia;Buenos Aires;DOCENTE;0;FEMENINO;CIENCIAS SOCIALES;2647
2019;Provincia;Buenos Aires;DOCENTE;0;FEMENINO;HUMANIDADES;970
2019;Provincia;Buenos Aires;DOCENTE;0;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;385
2019;Provincia;Buenos Aires;DOCENTE;0;MASCULINO;CIENCIAS AGRÍCOLAS;214
2019;Provincia;Buenos Aires;DOCENTE;0;MASCULINO;CIENCIAS MÉDICAS Y DE LA SALUD;529
2019;Provincia;Buenos Aires;DOCENTE;0;MASCULINO;CIENCIAS NATURALES Y EXACTAS;741
2019;Provincia;Buenos Aires;DOCENTE;0;MASCULINO;CIENCIAS SOCIALES;2021
2019;Provincia;Buenos Aires;DOCENTE;0;MASCULINO;HUMANIDADES;701
2019;Provincia;Buenos Aires;DOCENTE;0;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;820
2019;Provincia;Buenos Aires;INVESTIGADOR;0;FEMENINO;CIENCIAS AGRÍCOLAS;376
2019;Provincia;Buenos Aires;INVESTIGADOR;0;FEMENINO;CIENCIAS MÉDICAS Y DE LA SALUD;336
2019;Provincia;Buenos Aires;INVESTIGADOR;0;FEMENINO;CIENCIAS NATURALES Y EXACTAS;836
2019;Provincia;Buenos Aires;INVESTIGADOR;0;FEMENINO;CIENCIAS SOCIALES;1607
2019;Provincia;Buenos Aires;INVESTIGADOR;0;FEMENINO;HUMANIDADES;641
2019;Provincia;Buenos Aires;INVESTIGADOR;0;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;340
2019;Provincia;Buenos Aires;INVESTIGADOR;0;MASCULINO;CIENCIAS AGRÍCOLAS;326
2019;Provincia;Buenos Aires;INVESTIGADOR;0;MASCULINO;CIENCIAS MÉDICAS Y DE LA SALUD;177
2019;Provincia;Buenos Aires;INVESTIGADOR;0;MASCULINO;CIENCIAS NATURALES Y EXACTAS;649
2019;Provincia;Buenos Aires;INVESTIGADOR;0;MASCULINO;CIENCIAS SOCIALES;937
2019;Provincia;Buenos Aires;INVESTIGADOR;0;MASCULINO;HUMANIDADES;347
2019;Provincia;Buenos Aires;INVESTIGADOR;0;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;685
2019;Provincia;Buenos Aires;INVESTIGADOR;1;FEMENINO;CIENCIAS AGRÍCOLAS;125
2019;Provincia;Buenos Aires;INVESTIGADOR;1;FEMENINO;CIENCIAS MÉDICAS Y DE LA SALUD;95
2019;Provincia;Buenos Aires;INVESTIGADOR;1;FEMENINO;CIENCIAS NATURALES Y EXACTAS;799
2019;Provincia;Buenos Aires;INVESTIGADOR;1;FEMENINO;CIENCIAS SOCIALES;195
2019;Provincia;Buenos Aires;INVESTIGADOR;1;FEMENINO;HUMANIDADES;167
2019;Provincia;Buenos Aires;INVESTIGADOR;1;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;277
2019;Provincia;Buenos Aires;INVESTIGADOR;1;MASCULINO;CIENCIAS AGRÍCOLAS;90
